code,name,barcode,unit,is_active,sale_price,ncm
1413,SOFIATELLI RIC AZEIT PRETA.,1413,KG,0,0,19022000
1414,SOFIATELLI PRES ABCX RIC.,1414,KG,0,0,19022000
1415,SOFIATELLI 4Q NOZES.,1415,KG,0,0,19022000
1416,SOFIATELLI RECHEIO ESPECIAL.,1416,KG,0,0,19022000
1417,SOFIATELLI CREAM CHEESE PEITO DE PERU.,1417,KG,0,0,19022000
1418,SOFIATELLI CREAM CHEESE.,1418,KG,0,0,19022000
1419,SOFIATELLI 4Q NOZ UVAS PASSAS.,1419,KG,0,0,19022000
1420,SOFIATELLI ABOBORA.,1420,KG,0,0,19022000
1500,CONCHIGLIONE RIC ESPINAFRE.,1500,KG,0,0,19022000
1501,CONCHIGLIONE PRESUNTO E MUSSARELA.,1501,KG,0,0,19022000
1502,CONCHIGLIONE QUATRO QUEIJOS.,1502,KG,0,0,19022000
1503,CONCHIGLIONE FRANGO MUSS REQ.,1503,KG,0,0,19022000
1504,CONCHIGLIONE 4Q TOMATE SECO.,1504,KG,0,0,19022000
1505,CONCHIGLIONE 4Q ESPINAFRE.,1505,KG,0,0,19022000
1506,CONCHIGLIONE 4Q AZEIT PRETA.,1506,KG,0,0,19022000
1507,CONCHIGLIONE PIZZA.,1507,KG,0,0,19022000
1508,CONCHIGLIONE RICOTA.,1508,KG,0,0,19022000
1509,CONCHIGLIONE RIC NOZ UVAS PASSAS.,1509,KG,0,0,19022000
1510,CONCHIGLIONE RIC TOMATE SECO.,1510,KG,0,0,19022000
1511,CONCHIGLIONE RIC NOZES.,1511,KG,0,0,19022000
1512,CONCHIGLIONE ABOBORA CARNE SECA.,1512,KG,0,0,19022000
1513,CONCHIGLIONE RIC AZEIT PRETA.,1513,KG,0,0,19022000
1514,CONCHIGLIONE PRES ABCX RIC.,1514,KG,0,0,19022000
1515,CONCHIGLIONE 4Q NOZES.,1515,KG,0,0,19022000
1516,CONCHIGLIONE RECHEIO ESPECIAL.,1516,KG,0,0,19022000
